"","ADH1C","TNC","MYH11","KPNA2","C1QC","GNAO1","CBR1","PCNA","SHMT2","MRTO4","IDH1"
"PDAC_76T",0.716376289571795,-0.30069010045639,0.458191269021263,-0.103541323063129,-0.804772326997663,0.177170411468313,1.21902552195767,-0.929203528874707,0.00430068509840084,0.469056134691919,1.37660824053219
"PDAC_77T",-0.815991712009685,2.05461775301426,3.46846567231528,-0.33645060306001,-0.620471518117102,1.19357248903565,-0.315594618994489,-0.735677189436152,-0.67169729521073,-0.170402559922788,-0.914584142292618
"PDAC_78T",0.697776768994263,0.385581274530985,-0.221031304820911,0.0110350162901747,-0.951791334683842,1.00435419789138,-0.149060518395267,0.219744392319881,0.387983815359641,-0.696739165253949,-0.11934211959404
"PDAC_79T",-0.383640043834756,0.136424932849198,0.248193839654516,-0.113308486417837,-0.486711960558091,2.26897603511895,1.75251610500112,-0.242165072698822,-0.55345599140522,-0.732320593930673,0.35499228675406
"PDAC_80T",-0.321491489529984,-0.669102658247071,-0.305824344295968,-0.332694001769738,-0.672011389113502,-1.13650083934482,-0.750719468790512,0.808383682917317,0.987959426296209,-0.282349790712292,1.45372745117044
"PDAC_81T",-0.321491489529984,-0.376646274707653,0.10225949851217,-0.354482289253317,0.188854249477607,-0.934874791404194,-0.778770425451728,-0.0386631487531252,-0.466224742455402,-0.342603247763914,-0.718098177078958
"PDAC_82T",0.579262948814296,-0.243722969767943,-0.283804750517812,0.00089219280643967,-0.000772531002151345,-0.981856245523691,-0.365194842969332,1.29176060579539,0.199236183866276,-0.232670060107055,0.202790063247371
"PDAC_83T",-0.241150279160313,-0.461015194097885,-0.277308702474987,-0.304519492092696,0.877402515286349,-0.800780544777017,-0.368618876748019,0.816523759875145,0.237141290827851,-0.197088631430331,0.668509786723215
"PDAC_84T",-0.821891247442871,-0.55399003302752,0.17304441789252,-0.286487805899389,-0.353007881869906,-0.299494245457978,-1.44425949807951,-0.817716396422888,-1.00587748727588,0.354255676131169,-0.936469708531722
"PDAC_85T",0.940122709769334,-0.490638488404678,-0.236380729680866,5.09860014370591,2.70360050623199,-0.538666682454209,-0.444095256493138,1.58823497734765,1.63680150908063,-0.870282548516838,-0.233098650943552
"PDAC_86T",-0.321491489529984,-0.207850483607059,0.272002477591741,-0.215488041513243,0.511408404454001,-0.66442446748384,0.717486909184003,1.27907166230231,1.34303693012842,1.62092096963699,1.50009010808295
"PDAC_87T",-0.634675448129643,-0.575953962357044,-0.386763763518225,-0.507375961767398,-0.699362472430214,0.688602636917698,-1.36517169962254,-0.857060101719056,-0.811118784715851,-0.620541200068889,-1.46102558015329
"PDAC_88T",-0.300261880495785,-0.471823301802254,0.00834137711775121,-0.324805139060166,-0.475727144134747,0.0263386179127326,1.59746926863786,0.0669184376704657,-0.0974278528945569,0.165103458590283,-0.17451880741221
"PDAC_89T",0.984587188649998,-0.562219262486075,-0.377332535004798,-0.398058864220475,-0.0191360372452174,-0.386090048099142,0.18369537458124,0.711660415536068,1.45975778654648,-0.501712655242849,2.92362017550125
